,star_name,hurst,alpha,kappa
0,OGLE-TR-1001,0.4768,0.020322102,1.066058543
1,OGLE-TR-1002,0.5915,0.034796375,1.007750269
2,OGLE-TR-1003,0.63845,0.007466015,0.910301231
3,OGLE-TR-1004,0.628,0.01578917,0.993058379
4,OGLE-TR-1005,0.6076,0.016372249,1.053203915
5,OGLE-TR-1006,0.456,0.007152291,1.040296173
6,OGLE-TR-1007,0.3695,0.026254056,1.037673012
7,OGLE-TR-1008,0.6472,0.007847632,0.955151884
8,OGLE-TR-1009,0.592,0.02674312,1.041968172
9,OGLE-TR-1010,0.4355,0.01720662,1.012270943
10,OGLE-TR-1011,0.4815,0.015610611,0.987782643
11,OGLE-TR-1012,0.4855,0.009613017,0.989675539
12,OGLE-TR-1013,0.5265,0.012719918,0.90131425
13,OGLE-TR-1014,0.6705,0.006695008,0.976926183
14,OGLE-TR-1015,0.5595,0.005911726,0.953824891
15,OGLE-TR-1016,0.512,0.004523707,0.999838884
16,OGLE-TR-1017,0.6565,0.030028241,1.034050368
17,OGLE-TR-1018,0.4375,0.011040189,1.024290985
18,OGLE-TR-1019,0.6485,0.052766186,0.99898032
19,OGLE-TR-1020,0.7059,0.051423186,1.18275948
20,OGLE-TR-1021,0.831,0.063482707,1.452885415
21,OGLE-TR-1022,0.48375,0.008083095,1.008319748
22,OGLE-TR-1023,0.7246,0.041145817,1.063898836
23,OGLE-TR-1024,0.5221,0.006770095,1.021387983
24,OGLE-TR-1025,0.43515,0.003367257,1.019116966
25,OGLE-TR-1026,0.5584,0.005220651,0.981137146
26,OGLE-TR-1027,0.543,0.005042783,0.981674264
27,OGLE-TR-1028,0.2645,0.011922177,0.985635906
28,OGLE-TR-1029,0.59685,0.030633367,1.03799983
29,OGLE-TR-1030,0.6726,0.024392366,1.036474821
30,OGLE-TR-1031,0.4891,0.00677733,0.994158156
31,OGLE-TR-1032,0.637,0.045309278,1.080296041
32,OGLE-TR-1033,0.43555,0.01660384,1.051556731
33,OGLE-TR-1034,0.56355,0.053066523,1.06157015
34,OGLE-TR-1035,0.8181,0.031873307,1.191578273
35,OGLE-TR-1036,0.38265,0.040335957,1.001601233
36,OGLE-TR-1037,0.5389,0.004041827,1.012157653
37,OGLE-TR-1038,0.52115,0.011225625,0.984708354
38,OGLE-TR-1039,0.4327,0.007832972,0.99124515
39,OGLE-TR-1040,0.7184,0.031052084,0.975667406
40,OGLE-TR-1041,0.56465,0.022212384,0.912737468
41,OGLE-TR-1042,0.57685,0.030517185,1.082587455
42,OGLE-TR-1043,0.60205,0.00778421,1.030293148
43,OGLE-TR-1044,0.672,0.115329716,1.272669864
44,OGLE-TR-1045,0.7315,0.076577696,1.111639467
45,OGLE-TR-1046,0.67795,0.036742784,1.01457632
46,OGLE-TR-1047,0.7129,0.033874519,1.117577391
47,OGLE-TR-1048,0.4108,0.042450266,1.037045031
48,OGLE-TR-1049,0.46675,0.002974199,0.950303217
49,OGLE-TR-1050,0.3607,0.037133759,1.013093668
50,OGLE-TR-1051,0.3688,0.003280971,0.99694704
51,OGLE-TR-1052,0.4412,0.004175737,0.992052868
52,OGLE-TR-1053,0.60385,0.026908433,1.031633714
53,OGLE-TR-1054,0.51385,0.006610887,0.905659589
54,OGLE-TR-1055,0.48115,0.00333816,0.976229917
55,OGLE-TR-1056,0.48685,0.004387001,0.9802569
56,OGLE-TR-1057,0.43495,0.012202214,1.041204218
